,retorno_medio_diario,retorno_medio_diario,retorno_medio_diario,retorno_acumulado,retorno_acumulado,retorno_acumulado,volatilidade,volatilidade,volatilidade,max_drawdown,max_drawdown,max_drawdown,pl_medio,pl_medio,pl_medio,captacao_media,captacao_media,captacao_media,resgate_medio,resgate_medio,resgate_medio,cotistas_medio,cotistas_medio,cotistas_medio,fluxo_liquido_medio,fluxo_liquido_medio,fluxo_liquido_medio,sharpe,sharpe,sharpe
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0006962967033423614,0.000721704773079494,21563,0.18254681838802791,0.2443234092177037,21584,0.0051014645975008925,0.00679374437749342,21563,-0.04718433142251068,0.08497495182757735,21617,89133745.86300278,150801717.58417884,21617,96184.13277072436,236638.4421263449,21617,98532.47248766065,216281.57045534698,21617,57.30774048377107,233.96833199897665,21617,-2348.33971693629,271380.864632863,21617,1.1687019114836954,3.7751376944539836,21559
1,-53.669444821825365,1579.4376241043287,1544,-24.068090659831,904.0976222525418,1544,506.02185966340534,13921.484987726888,1544,-20.409189829419915,762.2115791312949,1544,16258685.899697311,27533162.893714987,1544,11178.324144670842,49767.75728620243,1544,188268.61570795768,239274.43115353212,1544,10.815138123612188,46.41362574791198,1544,-177090.29156328682,232142.35397132573,1544,-0.11735860854652591,0.07776567510282821,1544
