,retorno_medio_diario,retorno_medio_diario,retorno_medio_diario,retorno_acumulado,retorno_acumulado,retorno_acumulado,volatilidade,volatilidade,volatilidade,max_drawdown,max_drawdown,max_drawdown,pl_medio,pl_medio,pl_medio,captacao_media,captacao_media,captacao_media,resgate_medio,resgate_medio,resgate_medio,cotistas_medio,cotistas_medio,cotistas_medio,fluxo_liquido_medio,fluxo_liquido_medio,fluxo_liquido_medio,sharpe,sharpe,sharpe
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,413.9928751560425,62444.40431502924,27644,2327.835888730296,365612.640325197,27665,9055.667804137567,630903.8687042613,27640,-2.6460728551356203,221.84750932645701,27867,467066580.17898244,3520102792.4968123,27867,2813040.07477131,45417110.437561825,27867,2777687.101172172,45634070.21487851,27867,950.1885310573509,14319.055245344372,27867,35352.973599138015,3589736.5007234276,27867,2.3234406736536037,24.302431460561383,27635
