CNPJ,Fundo,Variavel,Valor,Z-Score
02513875000112,FUNDO DE INVESTIMENTO FINANCEIRO TESOURO RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,40046543807.260086,11.243841319476727
03069104000140,SANTANDER PREMIUM RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,pl_medio,14095775766.751406,3.871679320167113
03256793000100,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA,pl_medio,11587952624.09494,3.159250368375719
03298200000160,BB RENDA FIXA LONGO PRAZO CORPORATE FIC FIF CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,pl_medio,15953155644.549759,4.399328649543915
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,pl_medio,104648317912.8053,29.596082124275235
03399411000190,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADA DI PREMIUM - RESP LIMITADA,pl_medio,19503407473.588116,5.407893466629884
03504023000121,BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,pl_medio,30739852943.963497,8.599972258853265
03537407000140,BRASILPREV RT FIX II FIC FIF RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,34420592797.19605,9.645606454842694
03737206000197,NOME NAO ENCONTRADO,pl_medio,24259625811.003094,6.759052400838559
03737219000166,NOME NAO ENCONTRADO,pl_medio,52948989184.10257,14.909201718708353
03958061000154,FRG PLANO BD FI FINANCEIRO - CI MULT - RESP LIMITADA,pl_medio,15625641426.675219,4.3062875546722985
04118854000128,PETROS LIQUIDEZ FI FINANCEIRO - CI RF - RESP LIMITADA,pl_medio,17087245017.05076,4.721503722078257
04128562000176,BB RENDA FIXA REFERENCIADO DI LONGO PRAZO PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,pl_medio,17355717035.3539,4.797771954606977
04150666000187,CAIXA MASTER LIQUIDEZ FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESP LIMITADA,pl_medio,13412627917.213013,3.6776088938731597
04160232000168,BB MILENIO 32 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,pl_medio,13658567134.14908,3.7474759493069647
04237569000126,BRADESCO FIF - CLASSE DE  INVESTIMENTO EM COTAS RENDA FIXA REFERENCIADA DI SAFIRA - RESP LTDA,pl_medio,11815152991.013655,3.223794042328365
04253078000179,BRAM FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI RUBI - RESP LIMITADA,pl_medio,14228673258.928152,3.909433187031462
04700351000166,ITAÚ RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,pl_medio,11998968732.369358,3.2760128984786774
04857834000179,BB RENDA FIXA LONGO PRAZO TESOURO SELIC FIC FIF RESPONSABILIDADE LIMITATA,pl_medio,15397799813.50964,4.2415617138101425
04934357000106,BB ATACADO FEDERAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,pl_medio,16394932101.550285,4.524829659895711
05061121000167,BRASILPREV RT FIX C FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RENDA FIXA RESP LIMITADA,pl_medio,13020919270.037241,3.566331277773224
05164356000184,NOME NAO ENCONTRADO,pl_medio,11281175375.609116,3.0721002859577484
05164375000100,CAIXA MASTER CONSERVADOR FIF RENDA FIXA REFERENCIADO DI LONGO PRAZO - RESPONSABILIDADE LIMITADA,pl_medio,14060649520.417751,3.861700564316992
05592116000180,LAWTON EXCLUSIVO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,pl_medio,13743180326.621134,3.7715130861350166
