CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,CLASSE,CLASSE,cluster,retorno_medio_diario,retorno_acumulado,volatilidade,max_drawdown,pl_medio,captacao_media,resgate_medio,cotistas_medio,fluxo_liquido_medio,sharpe
00071477000168,BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RESP LIMITADA,FACFIF,,,3,0.0004744648842277615,0.12483830607985125,2.6740224757216864e-05,0.0,935321147.2622088,92706.05542168675,1593013.0072690763,32713.20080321285,-1500306.9518473896,17.743489014605576
00102322000141,BOREAL AÇÕES III FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,FITVM,,,1,-0.002696767437277097,-0.900082385731974,0.05948588110514651,-0.9266522205498208,103680078.29481928,0.0,0.0,1.0,0.0,-0.045334580024297265
00194256000187,BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,,,2,0.0005409639506565362,0.1447665684202588,0.00017190108690217092,-2.606714140946614e-05,4917620062.189642,30256368.230637446,33568938.99677291,32.68127490039841,-3312570.7661354616,3.1469489833092177
00211294000109,BRADESCO FIF - CLASSE DE INVESTIMENTO RF LP EUCALIPTO - RESP LIMITADA,FIF,,,2,0.0005420116601884227,0.14383016012935612,2.1318941410297412e-05,0.0,905578870.1671084,15741140.160763053,17221629.571405623,14.947791164658634,-1480489.41064257,25.423948110604677
00322699000106,BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA,FIF,,,2,0.0005498587848928539,0.1460565431926757,6.646388707627736e-05,0.0,6484099089.92269,9952014.242248997,15090368.756465863,2430.843373493976,-5138354.514216866,8.273045846112007
00398561000190,PORTO ALISIOS FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,FITVM,,,1,-0.00593417724346778,-1.0,0.08454383774510286,-1.0,18770040.86839506,216.0493827160494,145365.7625925926,646.4382716049382,-145149.71320987656,-0.07019053548715339
00756851000169,BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESPONSABILIDADE LIMITADA,FACFIF,,,3,0.00047271391928659675,0.12488158375489866,3.841604781554491e-05,0.0,2500441295.9521604,3833985.799,5093370.26748,131545.516,-1259384.4684799998,12.30511586085945
00785365000179,ITAÚ MONEY MARKET RENDA FIXA FIF DA CIC RESP LIMITADA,FACFIF,,,3,0.0004697905872643961,0.12353542279928487,5.445553436536129e-05,0.0,63076046.7737751,0.0,54602.9018875502,19025.698795180724,-54602.9018875502,8.62704944023515
00807777000162,DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO,FIF,,,2,0.0004993452557619386,0.1329084692368001,0.0003691654335944493,-0.0035561850314714226,618594391.9423904,70448399.4359761,70562258.08725101,1483.5498007968129,-113858.65127490461,1.3526327503091737
00812433000141,BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA,FIF,,,2,0.0004504121268295616,0.11815165393068905,1.9294158212374695e-05,0.0,5090961671.981807,207965175.1988755,206856733.33658633,117182.2248995984,1108441.8622891605,23.34448188263952
